n,InsertionSortTime(s),MergeSortTime(s),HybridMergeSortTime(s),SelectionSortTime(s),BubbleSortTime(s)
100,0.0010259151458740234,0.0,0.0009953975677490234,0.0,0.0010025501251220703
1000,0.04687857627868652,0.005019187927246094,0.006028652191162109,0.05581259727478027,0.0857691764831543
5000,1.4682319164276123,0.027887582778930664,0.025032758712768555,1.1259853839874268,2.4185705184936523
10000,5.293764352798462,0.06479477882385254,0.07500910758972168,4.188791036605835,10.51490330696106
20000,19.181658506393433,0.1336040496826172,0.1521344196836122,17.367525339126587,39.78454375267029
30000,40.826841831207275,0.1765284538269043,0.1852251138269042,37.69912767410278,89.00890302658081
40000,68.77297329902649,0.23537039756774902,0.22337019256474252,68.84990119934082,161.00299525260925
50000,149.65965819358826,0.39893221855163574,0.41293221855164514,126.34990429878235,303.6856212615967
60000,276.9968173503876,0.5734658241271973,0.6724658243271953,221.9330768585205,463.9764370918274
100000,563.2802124023438,1.1798443794250488,1.2358463794750282,457.30765652656555,1155.4071547985077
